Lat-Long,Nombre del recurso turístico,isla,Consejo,Parroquia,Aldea,Vecindario,Clasificación,Cara,Descripción del Producto,Elementos materiales asociados,Elementos naturales asociados,Acceso a recursos [dominio público o privado],Imágenes destacadas,Imágenes de la característica 1,Dados pendentes de interesse turístico,Singularidad que lo diferencia de otros en la región,Satisfacción del cliente con la función.,Posibilidades de exploración futura,Intervenciones necesarias para su uso,Acceso a recursos (tierra),Medios de viaje,Señalización (Dentro del municipio),Señalización (Fuera del municipio),Señalización (Cerca),Tipo de renda,Aplica (Dentro do Recurso Turístico),Aplica (Fora do Recurso Turístico),IDENTIFICACIÓN,Estado de conservación,Otros Servicios Turísticos (Fuera del Complejo Turístico más cercano),Servicios Básicos (Fuera del centro turístico más cercano),Servicios de emergencia (Fuera del complejo turístico más cercano),Otros Servicios Turísticos (Dentro del Recurso Turístico),Servicios básicos (Dentro del Complejo Turístico),Imágenes de la característica 2,Característica 3 imágenes,Característica 4 imágenes,Servicios de emergencia (Dentro del Complejo Turístico),Acceso al recurso (Marítimo),Nivel actual de uso,Acceso a recursos (aerotransportado),Medios de viaje 2
"14.971722400036619, -23.46103552186532",Playa de San Francisco,Santiago,Praia,Nossa Senhora da Graça,São Francisco,,Lugares Naturais,Playas y zonas costeras,"Praia de São Francisco es una de las mejores playas para bañarse en la ciudad de Praia. Es un lugar agradable, con una extensión de arena blanca. La ciudad de São Francisco tiene viento constante y el mar es muy fuerte y agitado. Es casi como la playa de la amistad. Allí se reúnen grupos de amigos para tocar música, divertirse y bailar. San Francisco es una playa especial. Podemos hablar del agua, a una temperatura fantástica, o del atardecer que se puede disfrutar desde la preciosa arena que tiene. Una buena extensión de arena blanca, donde también desovan las tortugas.  Otro atractivo turístico son las cuevas de sal, ubicadas en la zona de las salinas, pues allí la gente recolectaba la sal que aparecía debido al agua del mar, que saltaba a las rocas y quedaba atrapada allí. Las cuevas en forma de laberinto, algo aterradoras, no fueron creadas por la naturaleza, sino por la extracción de arena que realizaban los habitantes de la comunidad de Vale da Custo ante la falta de otros medios de subsistencia. Actualmente ya no se realiza la extracción de arena debido al peligro que supone.","Nidos de tortugas, información sobre playas.
Papeleras, cuevas de sal","Mar, arena y algunas palmeras.",Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/iobEyEZLoiRISWGMZkJK.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/ZJDM2OiAY3of4Mnl3Fbu.jpg,Seguridad,,Pouco frequentado,Costa y baño (Playa),"Mejoras en accesos, señalización y publicidad",Verdadero,"Vehículo todo terreno,Coche común,A pie,Autobús público,Autobús turístico,Minibús público,Minibús turístico,Taxi",Suficiente,Suficiente,Suficiente,Libro,Verdadero,Verdadero,24,,"Servicios de guía,Alquiler de bicicletas/caballos/otros,Centros de interpretación,Museos,Servicio de taxi,Venta de artesanía,Banco/ATM/oficina de cambio,Servicios de aparcamiento","Agua, Alumbrado público, Señalización, Otros",Atención primaria,,"Alumbrado público, Señalización",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/iwmQbFKQPpX7by3fp94C.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/okPie0zffUov6W15FI7E.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/82U6dFkMolK6wH71VYZj.jpg,,,,,
"15.05927052171017, -23.634747681840164",Pueblo Mato Dentro,Santiago,São Salvador do Mundo,São Salvador do Mundo,Mato dentro,Mato dentro,Lugares Naturais,Vales,"El pueblo de Mato en su interior es un conjunto de pueblos (de 100 habitantes) diseminados con vocaciones agrícolas y ganaderas. Situado en un valle fértil cerca del Pico de Antónia, el pueblo de Mato Dento tiene la capacidad de brindar a sus visitantes la oportunidad de disfrutar de un paisaje montañoso exuberante y de gran belleza. Asociado a estos paisajes, también es posible tener contacto con el mundo rural, involucrándose en el modo de vida de la población.","Casas típicas caboverdianas
Miradouros","Vegetación, flora, fauna, plantas ornamentales.",Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/vVEems5Gkr2Ghizh8wl5.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/42ReE4pgcLwmteSl9y8X.jpg,Aldeia de Mato Dentro forma parte de dos grandes proyectos de promoción y diversificación turística en Cabo Verde: el Programa de mejora turística y medioambiental de las aldeas rurales y el Proyecto de señalización de senderos peatonales de Cabo Verde.,"Las condiciones naturales hacen de Aldeia de Mato Dentro un lugar donde la actividad agrícola tiene una gran importancia en la economía familiar, con predominio de la agricultura de secano (95%), a pesar de que en algunos valles se practica una agricultura de regadío menos importante (4%) y hay agricultura estacional. casos (1%), estos aspectos son importantes para promover",Frequentado,Senderismo,Colocar señales para el pueblo; Rehabilitación del camino de acceso a Mato Dento; Construcción de miradores que mejoran la experiencia de contemplar el paisaje del pueblo y su entorno.,Verdadero,"Vehículo todo terreno,A pie,Taxi,Otros",No existe,No existe,No existe,Libro,Verdadero,Verdadero,25,bien,Servicios de guía,"Agua, Alumbrado público, Otros",Hospital público,,"Agua, Alumbrado público, Otros",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/f9UuJ4mLvbkgSLsn4OVi.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/1Kl0FjKhmI1NqUSJF7ra.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/VBz4wu1YKUksjqKKoLMc.png,,FALSO,,,
"14.916230527923444, -23.602094419460148",Fortaleza Real de São Filipe,Santiago,Ribeira Grande de Santiago,Santíssimo Nome de Jesus,Ribeira Grande de Santiago,Ribeira Grande de Santiago,Patrimonio Arquitectónico y Artístico,Legado Arqueológico,"También reconocido como un verdadero fuerte o simplemente una fortaleza, se encuentra en la cima de Achada Forte. El fuerte tiene forma trapesoidal, con muros de piedra, dos baluartes pentagonales completos en los vértices al este, separados por cortinas, y dos semibaluartes, al norte y al sur, con respectivas casetas de vigilancia. Al estar situada en el lado terrestre, por encima de la población de Ribeira Grande, no era posible realizar disparos de corta distancia desde la fortaleza, por el riesgo de impactar a la población. Centro defensivo de Cidade Velha en 1587, siglo XVI por orden del rey Felipe de Portugal y España. Construida con piedras locales (basalto), uso de mortero de cal y arena, sillares y piedra caliza.  Se encuentra entre 115 y 120 metros sobre el nivel del mar y a 12 km de la capital.","Restos de la casa del gobernador, casa de los soldados, pozo (1612)
Capilla de São Gonçalo, dependencias oficiales, guarniciones y almacenes de armas, cárceles y calabozos.",ninguno,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/lND6pPqDQl0DEVlQZuEy.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/CBBCfJAN0dWAO7wxzRdB.jpg,Señalización de taquillas y elementos materiales asociados.,"Está ubicada en la 1ª Ciudad de Cabo Verde, en toda el África subsahariana.",,Patrimonio/cultural,,Verdadero,"Vehículo todo terreno, Coche común, A pie, Bus turístico, Mini Bus Turístico, Taxi",Suficiente,Suficiente,Suficiente,Libro,Verdadero,Verdadero,26,bien,"Servicios de guía, Venta de artesanías, Bancos/Cajeros automáticos/cambio de moneda","Agua, Alumbrado público, Señalización","Hospital público,Polícia",,Agua,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/uLGYI4eXTu9EUa1rYYGQ.jpg,,,,,Asistió,,
"14.91937784911368, -23.508089449533845",Museo Amílcar Cabral y Fundación Amílcar Cabral,Santiago,Praia,Nossa Senhora da Graça,Plateau,Plateau,Patrimonio Arquitectónico y Artístico,Museos y salas de exposiciones,"Es una organización no gubernamental de utilidad pública creada en 1984, cuyo objetivo principal es preservar y valorizar la obra y la historia de Amílcar Cabral y la lucha contra la dominación colonial librada por él, que condujo a la independencia de Cabo Verde y de Guinea. Bisáu. Edificio antiguo, con puertas y ventanas altas, pequeños compartimentos donde se exhibe la colección de Amílcar Cabral. Hay varios graffitis en la fachada del edificio. La Fundación presentó recientemente la candidatura del archivo de Amílcar Cabral al programa Memoria del Mundo de la UNESCO, con la misión de preservar la obra y la memoria de su mecenas “Amílcar Cabral”.","Fotografías, Libros, Documentos, Pinturas Artísticas, Videos y Audios que forman parte de la colección del Museo Amílcar Cabral.
Piezas de ropa, muebles y objetos personales que pertenecieron a Amílcar Cabral",,Privado,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/R5mNymU3FgNv5dSx23q5.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/vDBMmloa1AIiyK0ZSXnO.jpg,"Espacio para preservar la memoria y el legado de Amílcar Cabral, ideólogo de la independencia de Cabo Verde y Guinea Bissau",,,Patrimonio/cultural,Continúa el apoyo técnico del IPC para remodelar la exposición existente en el Museo Amílcar Cabral,Verdadero,"Coche normal, A pie, Autobús turístico, Mini Autobús turístico",,,,Se requiere boleto o entrada,Verdadero,Verdadero,27,bien,,"Agua, Alcantarillado, Alumbrado público, Señalización","Hospital público,Hospital particular,Polícia",,"Agua, Alcantarillado, Alumbrado público, Señalización",,,,,,Asistió,FALSO,
"15.101354835927923, -23.77051152250598",Cueva de Águas Belas,Santiago,Santa Catarina,Santa Catarina,Achada Leite,Achada Leite,Lugares Naturais,Formaciones geológicas y paleontológicas,"La Gruta de Aguas Belas alberga una cueva con dos aberturas, la más grande situada en el lado que da a la playa del mar y la más pequeña en el lado que da al océano, con una playa contigua, ideal para nadar. Está ubicado en el oeste de Santa Catarina, más específicamente, en la desembocadura de Ribeira dos Engenhos, aproximadamente 2 km al sur de Achada Leite. Esta Ribeira tiene una atractiva vista panorámica y parte de este paisaje natural es una cueva/gruta con una doble abertura, de diferentes dimensiones: el lado mayor da a la playa y el lado menor da al océano. Al lindar su desembocadura con el mar, constituye un elemento más armonizador de este paisaje donde se puede contemplar el movimiento de las olas penetrando en la cueva, sentir la brisa marina y son ideales para darse un chapuzón.",,Mar,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/3yKfc7jtgo0gMdNJuvst.png,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/91OF4af0pGTx5jkNPZmz.jpg,,"El sitio tiene presencia de mantos basálticos submarinos y subaéreos. Todavía es posible identificar la “Roca Fundida”, llamada acantilado, con una estructura cilíndrica llamada “Pilon di Nhor Des” por los residentes.",,espeleología,En proceso de remodelación en el ámbito del Programa Aldeas Rurales,Verdadero,"Vehículo todo terreno,A pie,Otros",Suficiente,,Suficiente,Libro,FALSO,Verdadero,28,aceptable,Servicios de guía,"Agua, Alcantarillado, Alumbrado público, Señalización","Atención primaria, policía",,,,,,,Verdadero,Asistió,FALSO,Barco
"14.93716208087615, -23.598002269329278",Iglesia de Nuestra Señora del Rosario,Santiago,Ribeira Grande de Santiago,Santíssimo Nome de Jesus,Ribeira Grande de Santiago,Ribeira Grande de Santiago,Patrimonio Arquitectónico y Artístico,Legado Arqueológico,"Se encuentra situada al noroeste de la localidad, en la margen derecha de la Ribeira Grande de Santiago. Fue creada en 1495 y comenzó siendo una ermita, la más antigua del África subsahariana que aún existe en funcionamiento. Es una rareza su capilla lateral manuelina. Ejemplo de arquitectura gótica en el África subsahariana. Se han realizado mejoras recientemente. La iglesia se utiliza para bautismos y ceremonias religiosas. Hay tres tumbas de sacerdotes misioneros, uno de los cuales es de Cabo Verde (el padre Nicolau Ferreira).","Escaleras de piedra blanca tallada con piedras de piedra caliza.
Antiguo muro del edificio y azulejos portugueses",,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/Fp3lN5HeJxjzZY9reqk1.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/0GGgIL8ralXCmOcA8qPC.jpg,,,,Patrimonio/cultural,No,Verdadero,A pie,Suficiente,Suficiente,Suficiente,Se requiere boleto o entrada,Verdadero,Verdadero,29,bien,"Servicios de guía, Venta de artesanías, Bancos/Cajeros automáticos/cambio de moneda","Agua, Alumbrado público, Señalización","Hospital público,Polícia",,"Agua, Alumbrado público, Señalización",,,,,,Asistió,,
"15.129555942323655, -23.524592507812905",Iglesia de Santiago el Grande,Santiago,Santa Cruz,Santiago Maior,Cidade de Pedra Badejo ,Achada Igreja ,Etnografía y folklore,Folclore Espiritual,"Construida en el siglo XVIII, la iglesia estuvo funcional hasta 1954, cuando el santo, el altar, campanas, madera, entre otros objetos, fueron trasladados a la Iglesia de Nuestra Señora de Fátima, en el centro de Pedra Badejo. El techo de paja de la iglesia de São Tiago Maior, con sucesivas sequías, fue retirado ""para que comieran las vacas y las cabras"". A partir de entonces, abandonado, el tiempo dejó el edificio en ruinas. Fue rehabilitado/reconstruido con el objetivo de preservar el edificio y crear una red intermunicipal con atractivos para el turismo histórico y religioso. La iglesia está pintada de blanco y tiene piedra rústica.","5 tumbas, bancos de madera, santos, altos, sistema de sonido, cuadrados, ordenados",Plantas,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/StCUvzqLdsfcTDC6Kjpc.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/bXEp15FUC6XINx2D2qYo.jpg,"Antorcha, baño y quiosco.","Segunda igreja mas antiga de Santiago,",,Patrimonio/cultural,,Verdadero,"Vehículo todo terreno,Coche común,A pie,A caballo,Autobús público,Autobús turístico,Minibús público,Minibús turístico",Suficiente,Suficiente,Suficiente,Semi-restringido (permiso previo),Verdadero,Verdadero,30,bien,"Servicios de guía,Alquiler de bicicletas/caballos/otros,Centros de interpretación,Museos,Servicio de taxi,Venta de artesanía,Banco/ATM/oficina de cambio,Servicios de aparcamiento","Agua, Alcantarillado, Alumbrado público, Señalización","Hospital público, Hospital privado, Atención primaria, Policía",,"Agua, Alumbrado público, Señalización",,,,,,Asistió,FALSO,
"15.09619763039477, -23.667297330669346",Iglesia Nuestra Señora de Fátima,Santiago,Santa Catarina,Santa Catarina,Assomada,Praça Central,Etnografía y folklore,Folclore Espiritual,"Este monumento religioso está ubicado en el corazón del centro histórico de la ciudad de Assomada y tiene como frente el edificio de la Cámara y la plaza Gustavo Monteiro. Es un antiguo edificio que data de la época colonial, construido entre 1947 y 1949, y su inauguración se llevó a cabo en este último. Sus características arquitectónicas son llamativas, y mirando su aspecto actual desde lo alto, destacan sobre todas las dos torres, una al frente o al fondo. Es un lugar de culto de referencia para los citadinos y ha contribuido en gran medida a mantener la fe en el lugar y se encuentra en buen estado de conservación. Allí se desarrollan las actividades centrales de la festividad de Nuestra Señora de Fátima, el 13 de mayo. Sus características arquitectónicas y cada evento de carácter religioso lo convierten en un patrimonio cultural y religioso. Por tanto, debería incluirse en la ruta de visita al municipio.","Santos, sillas, altar, varios dibujos de santos.",Flores ornamentais,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/qXnG0N85xiN3fVByEpQQ.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/ENuFrSuR0Q36X9zm245c.jpg,,"Abierto todos los días, hay un servicio de venta de velas y símbolos de la iglesia.",,Patrimonio/cultural,,Verdadero,"Vehículo todo terreno,Coche común,A pie,Autobús público,Autobús turístico,Minibús público,Minibús turístico,Taxi",Suficiente,No existe,No existe,Libro,Verdadero,Verdadero,31,,"Servicios de guía,Museos,Servicio de taxi,Venta de artesanías,Banco/ATM/cambio de moneda,Servicios de estacionamiento","Agua, Alcantarillado, Alumbrado público, Señalización","Hospital público,Polícia",,"Agua, Alumbrado público, Señalización",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/9iF0IixcDJjaHfmGebL8.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/TlcMRnciOfC1IOnyVKBp.jpg,,,,Asistió,,
"15.048891453610121, -23.603855597369304",Jardim Botánico Grandvaux Barbosa,Santiago,São Lourenço dos Órgãos,São Lourenço dos Órgãos,São Jorge dos Órgãos,São Jorge dos Órgãos,Lugares Naturais,Sitios de Observación de Flora y Fauna,"Espacio que contiene una colección de plantas endémicas y autóctonas de Cabo Verde. Es el único jardín botánico de Cabo Verde. El centro fue creado en 1986 y recibió el nombre de Botánico Franco-Portugués Luis Augusto Grandvaux Barbosa. Se encuentra a 400 metros sobre el nivel del mar y cubre 20.000 cuadrados. Forma parte de la Escuela Superior de Ciencias Agrícolas y Ambientales, parte de la Universidad de Cabo Verde.","Espacio multiusos
Espacios para picnic",Fauna e Flora,Privado,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/mc1cPMag5VHSs6jOtAiQ.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/4GcZlWEpnTAUfT0ZQTro.jpg,,El Jardín Botánico Nacional Grandvaux Barbosa es el único jardín botánico de Cabo Verde con una colección de plantas endémicas.,,Senderismo,En proceso de remodelación,Verdadero,"Vehículo todo terreno,Autobús turístico,Taxi,Otros",Suficiente,,Suficiente,Semi-restringido (permiso previo),Verdadero,Verdadero,32,aceptable,"Servicios de guía,Centros de interpretación,Museos,Servicio de taxi,Servicios de aparcamiento","Agua, Alcantarillado, Alumbrado público, Señalización","Hospital público,Atención primaria,Policía","Servicios de guía, Centros de interpretación, Venta de artesanía.","Agua, Alcantarillado, Alumbrado público, Señalización",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/cjseQCeHR8Rk3OZ1Fddx.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/FlLalElWJrYxfmU73Ybu.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/G46Pz123Yrw2hwCtZU7a.jpg,,,Asistió,,
"15.137413367082063, -23.53389234711447",Largo Catchás “rei do funana”,Santiago,Santa Cruz,Santiago Maior,Cidade Pedra Badejo ,Porto de Acima ,Patrimonio Arquitectónico y Artístico,Asentamientos humanos y arquitectura viva,"Calle emblemática del centro histórico de la ciudad, por ser el mayor punto económico y social donde se realizaban actividades económicas. La estatua de un músico local (también conocido como catchas – Carlos Alberto Martins 1951-1988), fundador del conjunto Bulimundo, creador y promotor del movimiento funaná y dejó un enorme legado a la música y la cultura caboverdiana. Como homenaje, se construyó la estatua en vidrio y arena basáltica con la figura del mismo. En 2013, con motivo de la aprobación del Reglamento de Toponimia Municipal y Numeración Policial, el Ayuntamiento ratificó este nombre, pasando así a ser oficialmente la plaza de Katxás y no la plaza o calle como la gente acostumbraba a llamarla.","Base de cimento 
Placas que conta a historia de Catchás",Plantas ornamentais,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/Jd94rDemjBeN1s62wWM6.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/i1oqMG4aqB4L2ouHVFMl.jpg,,Simbolo do funana de Cabo Verde,,Patrimonio/cultural,,Verdadero,"Vehículo todo terreno,Coche común,A pie,A caballo,Autobús público,Autobús turístico,Minibús público,Minibús turístico,Taxi",Suficiente,Suficiente,Suficiente,Libro,FALSO,Verdadero,33,bien,"Servicios de guía,Alquiler de bicicletas/caballos/otros,Centros de interpretación,Museos,Servicio de taxi,Venta de artesanía,Banco/ATM/oficina de cambio,Servicios de aparcamiento","Agua, Alcantarillado, Alumbrado público, Señalización","Hospital público, Hospital privado, Atención primaria, Policía",,,,,,,,,,
"14.987226579841511, -23.430374532952417",Faro de Ponta Leste,Santiago,São Domingos,Nossa Senhora da Luz,,,Logros técnicos científicos,Obras de Ingeniería,"Actualmente, la estructura del Faro de Ponta do Lobo está formada por una torre cuadrangular de 9 m de altura, cuya linterna se encuentra a 17 m sobre el nivel del mar, adosada a la casa del farero, pero el conjunto se encuentra completamente abandonado. En la fachada del edificio rectangular, revestida con láminas de fibrocemento a cuatro aguas, se puede observar la puerta que da acceso al interior, pero que se cierra con sillares. Tiene una puerta y tres pequeñas ventanas en la fachada lateral y una sola ventana en la parte trasera, todas ellas también cubiertas para evitar actos vandálicos, al no haber farero. Acceder a su interior presenta un pasillo que separa la cocina del antiguo comedor y conduce a los anexos. También conduce a la habitación principal, que conecta con el dormitorio a través de una puerta. La torre del faro remata un hastial del edificio principal y el acceso a la linterna se realiza a través de una escalera exterior. Aunque está desactivado, tenía una lámpara blanca, similar a la de los faros de 6° orden, y emitía 4 destellos cada 15 segundos, pero la protección respectiva se encuentra floja y en mal estado, completamente corroída por falta de conservación. El “Farol de Leste”, como se le conoce localmente, servía al pequeño Porto do Lobo que tiene forma de concha, cuya estrecha abertura está delimitada por Ponta do Lobo al sur y Ponta Maiada, al norte de una costa formada por de tres playas, separadas por rocas, que se extienden de sur a oeste, que son utilizadas por pequeñas embarcaciones pesqueras.",flash,Mar,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/I4hdKDtQZhRry2viHObv.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/crabCT1Dl67vfjtAeXyG.jpg,"Mayor publicidad, guías de aforo, acceso a la atracción.",,,Otros,,Verdadero,"Vehículo todo terreno, coche común, autobús turístico, minibús público, minibús turístico, taxi",Suficiente,Suficiente,Suficiente,Libro,,,34,espacioso,,,,,,,,,,,Muy poco frecuentado,,
"15.098096258262572, -23.667853391821478",Mercado Municipal Antigo,Santiago,Santa Catarina,Santa Catarina,Assomada,Praça central,Patrimonio Arquitectónico y Artístico,Asentamientos humanos y arquitectura viva,"Es un espacio de intercambio comercial. Fue el primer mercado construido en Cabo Verde e inaugurado en 1931. Reunía diariamente a todos los habitantes de la isla. Se trata de un edificio de características marcadamente coloniales, que testimonia la huella de la arquitectura portuguesa en Cabo Verde, donde personas de diferentes puntos del municipio se reúnen para exhibirse y vender sus productos, lo que acaba siendo un lugar de interacción y convivencia. Su arquitectura, las exposiciones y ferias que allí se celebran lo convierten en un espacio cultural, que atrae visitantes, ya sean nacionales o internacionales, especialmente aquellos que quieren convivir con formas de vida sencillas. Actualmente no cubre todo tipo de comercio, debido a que se construyó un nuevo mercado, donde la mayoría de los vendedores fueron trasladados a este espacio. Sin embargo, todavía hay gente vendiendo artesanías de Cabo Verde y África, vendiendo alimentos y otros. La afluencia de público en este mercado es menor que en el pasado.","Mostrador de venta de productos, baño.
Kiosco, productos artesanales.",Venta de frutas y verduras,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/Jn7MMlTcCadjmLIBJh2c.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/ySfAdV95456ew2qdTmKb.jpg,Valorar la historia arquitectónica y reutilizar el espacio para otros fines.,Primeiro mercado construido em Cabo verde.,,Gastronomía,,Verdadero,"Vehículo todo terreno,Coche común,A pie,Autobús público,Autobús turístico,Minibús público,Minibús turístico,Taxi",No existe,No existe,No existe,Libro,Verdadero,Verdadero,35,espacioso,"Servicios de guía,Centros de interpretación,Museos,Servicio de taxi,Venta de artesanías,Banco/ATM/Casa de cambio de moneda","Agua, Alcantarillado, Alumbrado público","Hospital público, Hospital privado, Atención primaria, Policía",Venta de artesanías,"Agua, Alcantarillado, Alumbrado público",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/fGJH7smmTbN6bKGN2Qx5.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/CaH7PJv4vexTV0XrtHnv.jpg,,,,Asistió,,
"15.092238584665067, -23.654219690621968",Mirador Cruz dos Picos,Santiago,Santa Catarina,Santa Catarina,Cruz dos Picos ,Cruz dos Picos ,Lugares Naturais,Sitios de Observación de Flora y Fauna,"Es un lugar de parada, ocio y observación, donde se puede apreciar toda la ciudad de Assomada, los diferentes paisajes naturales y culturales. Actualmente se encuentra muy deteriorado, faltando obras tanto en la estructura como alrededor de la misma. Compuesto por una pequeña plaza con una cruz de cemento, puerta de entrada a la ciudad y punto de encuentro de la ciudad de Assomada. Existe un proyecto de renovación de este mirador que aún no tiene fecha de finalización.  El proyecto Mirante de Cruz de Picos incluye espacios de ocio, accesos peatonales, escaleras y rampas, espacios verdes y parterres, restaurantes, gimnasio, quioscos y un pórtico de entrada a la ciudad.","Mirador, cruz de cemento.
Piedra",,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/LMUn4P66sbRv1U3Bfjz9.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/wugjFoCcBd3u7ZRu4WVj.jpg,"Pendiente de proyecto financiado por el Ministerio de Turismo y gtransportes para revitalizar el espacio de forma económica, con terraza y cafetería.",,,Patrimonio/cultural,Renovación y remodelación del mirador por parte del Ministerio de Turismo y Transportes,Verdadero,"Vehículo todo terreno,Coche común,Autobús público,Autobús turístico,Minibús público,Minibús turístico,Taxi",No existe,No existe,No existe,Libro,FALSO,Verdadero,36,espacioso,"Servicios de guía,Centros de interpretación,Museos,Servicio de taxi,Venta de artesanía,Banco/ATM/cambio de moneda,Servicios de aparcamiento","Agua, Alcantarillado, Alumbrado público","Hospital privado,Atención primaria,Policía",,,,,,,,Asistió,,
