Lat-Long,Tourist resource name,island,Council,Parish,Vila,Neighborhood,Classification,Cara,Product Description,Associated material elements,Associated natural elements,Resource Access [Public or private domain],Feature Images,Feature 1 Images,Pending data of tourist interest,Uniqueness that sets it apart from others in the region,Customer satisfaction with the feature,Possibilities for future exploration,Interventions required for its use,Resource access (Land),Means of travel,Signage (Within the municipality),Signage (Outside the municipality),Signage (Nearby),Type of income,Applies (Within the Tourist Resource),Applies (Outside the Tourist Resort),ID,Conservation status,Other Tourist Services (Outside the nearest Tourist Resort),Basic Services (Outside the nearest tourist resort),Emergency services (Outside the nearest tourist resort),Other Tourist Services (Within the Tourist Resource),Basic services (Within the Tourist Resort),Feature 2 Images,Feature 3 Images,Feature 4 Images,Emergency services (Within the Tourist Resort),Access to the resource (Maritime),Current level of usage,Resource Access (Airborne),Means of travel 2
"14.91937784911368, -23.508089449533845",Amílcar Cabral Museum and Amílcar Cabral Foundation,Santiago,Praia,Nossa Senhora da Graça,Plateau,Plateau,Architectural and Artistic Heritage,Museums and Exhibition Halls,"It is a non-governmental, public utility organization created in 1984, whose main purpose is to preserve and enhance the work and history of Amilcar Cabral and the fight against colonial domination waged by him, which led to the independence of Cape Verde and from Guinea Bissau. Old building, with high doors and windows, small compartments where Amilcar Cabral's collection is displayed. There is several graffiti on the facade of the building. The Foundation recently presented the candidacy of Amilcar Cabral's archives to UNESCO's Memory of the World program, with the mission of preserving the work and memory of its patron “Amilcar Cabral”.","Photographs, Books, Documents, Artistic Paintings, Videos and Audios that are part of the Amílcar Cabral Museum collection.
Pieces of clothing, furniture and personal objects that belonged to Amílcar Cabral",,Private,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/R5mNymU3FgNv5dSx23q5.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/vDBMmloa1AIiyK0ZSXnO.jpg,"Space for preserving the memory and legacy of Amílcar Cabral, ideologue of the independence of Cape Verde and Guinea Bissau",,,Heritage/cultural,Technical support from IPC is ongoing to remodel the existing exhibition at the Amílcar Cabral Museum,True,"Ordinary car,On foot,Tourist bus,Mini Tourist Bus",,,,Ticket or entry required,True,True,27,bom,,"Water,Sewage system,Public lighting,Signage","Public hospital,Private hospital,Police",,"Water,Sewage system,Public lighting,Signage",,,,,,Attended,False,
"15.101354835927923, -23.77051152250598",Águas Belas Cave,Santiago,Santa Catarina,Santa Catarina,Achada Leite,Achada Leite,Natural Places,Geological and Paleontological Formations,"The Gruta de Aguas Belas houses a cave with two openings, the larger one located on the side that faces the sea beach and the smaller one on the side that faces the ocean, with an adjoining beach, ideal for swimming. It is located in the west of Santa Catarina, more specifically, at the mouth of Ribeira dos Engenhos, approximately 2km south of Achada Leite. This Ribeira has an attractive panoramic view and part of this natural landscape is a cave/grotto with a double opening, of different dimensions: the larger side leads to the beach and the smaller side leads to the ocean. As its mouth borders the sea, this constitutes yet another harmonizing element of this landscape where you can contemplate the movement of the waves penetrating the cave, feel the sea breeze and are ideal for taking a dip.",,Mar,Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/3yKfc7jtgo0gMdNJuvst.png,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/91OF4af0pGTx5jkNPZmz.jpg,,"The site has the presence of submarine and subaerial basalt mantles. It is still possible to identify the “Cast Rock” called cliff, with a cylindrical structure called “Pilon di Nhor Des” by residents.",,speleology,In the process of remodeling within the scope of the Rural Villages Program,True,"All-terrain vehicle,On foot,Other",Enough,,Enough,Book,False,True,28,acceptable,Guide services,"Water,Sewage system,Public lighting,Signage","Primary care,Police",,,,,,,True,Attended,False,Barco
"14.93716208087615, -23.598002269329278",Church of Our Lady of the Rosary,Santiago,Ribeira Grande de Santiago,Santíssimo Nome de Jesus,Ribeira Grande de Santiago,Ribeira Grande de Santiago,Architectural and Artistic Heritage,Archaeological Legacy,"It is located northwest of the town, along the right bank of the Ribeira Grande de Santiago. It was created in 1495 and began as a chapel, the oldest in sub-Saharan Africa that still exists in operation. Its Manueline side chapel is a rare example of Gothic architecture in Sub-Saharan Africa. Improvements have been made recently. The church is used for baptism and religious ceremonies. There are three tombs of missionary priests, one of which is from Cape Verde (Father Nicolau Ferreira).","White stone carved stairs with limestone stones
Old building wall and Portuguese tiles",,Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/Fp3lN5HeJxjzZY9reqk1.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/0GGgIL8ralXCmOcA8qPC.jpg,,,,Heritage/cultural,No,True,On foot,Enough,Enough,Enough,Ticket or entry required,True,True,29,bom,"Guide services, Sale of handicrafts, Bank/ATMs/currency exchange","Water,Public lighting,Signage","Public hospital, Police",,"Water,Public lighting,Signage",,,,,,Attended,,
"15.129555942323655, -23.524592507812905",Saint James the Great Church,Santiago,Santa Cruz,Santiago Maior,Cidade de Pedra Badejo ,Achada Igreja ,Ethnography and folklore,Spiritual Folklore,"Built in the 18th century, the church was functional until 1954, when the saint, the altar, bells, wood, among other objects, were moved to the Church of Nossa Senhora de Fátima, in the center of Pedra Badejo. The straw roof of the church of São Tiago Maior, with successive droughts, was removed ""for the cows and goats to eat"". From then on, left abandoned, time left the building in ruins. It was rehabilitated/rebuilt with the aim of preserving the building and creating an inter-municipal network with attractions for historical and religious tourism. The church is painted white and has rustic stone.","5 Graves, Wooden benches, saints, high, sound system, square, orderly",Plants,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/StCUvzqLdsfcTDC6Kjpc.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/bXEp15FUC6XINx2D2qYo.jpg,"Candle torch, bathroom and kiosk","Second oldest church in Santiago,",,Heritage/cultural,,True,"All-terrain vehicle,Common car,On foot,On horseback,Public bus,Tourist bus,Public mini bus,Tourist mini bus",Enough,Enough,Enough,Semi-restricted (prior permission),True,True,30,bom,"Guide services,Bicycle/horse/other rental,Interpretation centers,Museums,Taxi service,Sale of crafts,Bank/ATM/exchange office,Parking services","Water,Sewage system,Public lighting,Signage","Public hospital,Private hospital,Primary care,Police",,"Water,Public lighting,Signage",,,,,,Attended,False,
"15.09619763039477, -23.667297330669346",Our Lady of Fatima Church,Santiago,Santa Catarina,Santa Catarina,Assomada,Praça Central,Ethnography and folklore,Spiritual Folklore,"This religious monument is located in the heart of the historic center of the city of Assomada and is fronted by the Chamber building and Gustavo Monteiro square. It is an old building dating back to colonial times, built between 1947 and 1949, and its inauguration took place in the latter. Its architectural features are striking, and looking at its current appearance from the top, the two towers stand out above all, one at the front or at the back. It is a reference place of worship for city dwellers and has greatly contributed to maintaining faith in the place and is in a good state of conservation. The central activities of the feast of Our Lady of Fátima take place there, on May 13th. Its architectural features and every event of a religious nature make it a cultural and religious heritage. Therefore, it should be included in the visit route to the municipality.","Saints, chairs, altar, various drawings of saints",Ornamental flowers,Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/qXnG0N85xiN3fVByEpQQ.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/ENuFrSuR0Q36X9zm245c.jpg,,"Open every day, there is a service selling candles and church symbols.",,Heritage/cultural,,True,"All-terrain vehicle,Common car,On foot,Public bus,Tourist bus,Public mini bus,Tourist mini bus,Taxi",Enough,Does not exist,Does not exist,Book,True,True,31,,"Guide services,Museums,Taxi service,Sale of crafts,Bank/ATM/currency exchange,Parking services","Water,Sewage system,Public lighting,Signage","Public hospital, Police",,"Water,Public lighting,Signage",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/9iF0IixcDJjaHfmGebL8.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/TlcMRnciOfC1IOnyVKBp.jpg,,,,Attended,,
"15.048891453610121, -23.603855597369304",Grandvaux Barbosa Botanical Garden,Santiago,São Lourenço dos Órgãos,São Lourenço dos Órgãos,São Jorge dos Órgãos,São Jorge dos Órgãos,Natural Places,Flora and Fauna Observation Sites,"Space that contains a collection of endemic and autochthonous plants from Cape Verde. It is the only botanical garden in Cape Verde. The center was created in 1986 and was named Botanico Franco-Portuguese Luis Augusto Grandvaux Barbosa. It is located 400 meters above sea level and covers 20,000 squares. It is part of the Higher School of Agricultural and Environmental Sciences, part of the University of Cape Verde.","Multi-use space
Picnic spaces",Fauna and Flora,Private,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/mc1cPMag5VHSs6jOtAiQ.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/4GcZlWEpnTAUfT0ZQTro.jpg,,The Grandvaux Barbosa National Botanical Garden is the only botanical garden in Cape Verde with a collection of endemic plants.,,Hiking,In the process of remodeling,True,"All terrain vehicle,Tourist bus,Taxi,Other",Enough,,Enough,Semi-restricted (prior permission),True,True,32,acceptable,"Guide services,Interpretation centers,Museums,Taxi service,Parking services","Water,Sewage system,Public lighting,Signage","Public hospital,Primary care,Police","Guide services, Interpretation centers, Sale of crafts","Water,Sewage system,Public lighting,Signage",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/cjseQCeHR8Rk3OZ1Fddx.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/FlLalElWJrYxfmU73Ybu.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/G46Pz123Yrw2hwCtZU7a.jpg,,,Attended,,
"15.137413367082063, -23.53389234711447",Largo Catchás “king of funana”,Santiago,Santa Cruz,Santiago Maior,Cidade Pedra Badejo ,Porto de Acima ,Architectural and Artistic Heritage,Human Settlements and Living Architecture,"Emblematic street in the historic center of the city, because it was the largest economic and social point where economic activities were carried out. The statue of a local musician (aka catchas – Carlos Alberto Martins 1951-1988), founder of the Bulimundo ensemble, creator and promoter of the funaná movement and left a huge legacy to Cape Verdean music and culture. As a tribute, the statue was built in glass and basalt sand in the figure of the same. In 2013, on the occasion of the approval of the Municipal Toponymy and Police Numbering Regulation, the City Council ratified this name, thus officially becoming Katxás square and not the square or street as people were in the habit of calling it.","Cement base 
Plaques that tell the story of Catchás",Ornamental plants,Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/Jd94rDemjBeN1s62wWM6.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/i1oqMG4aqB4L2ouHVFMl.jpg,,Cape Verde funana symbol,,Heritage/cultural,,True,"All-terrain vehicle,Common car,On foot,On horseback,Public bus,Tourist bus,Public mini bus,Tourist mini bus,Taxi",Enough,Enough,Enough,Book,False,True,33,bom,"Guide services,Bicycle/horse/other rental,Interpretation centers,Museums,Taxi service,Sale of crafts,Bank/ATM/exchange office,Parking services","Water,Sewage system,Public lighting,Signage","Public hospital,Private hospital,Primary care,Police",,,,,,,,,,
"14.987226579841511, -23.430374532952417",Ponta Leste Lighthouse,Santiago,São Domingos,Nossa Senhora da Luz,,,Scientific Technical Achievements,Engineering Works,"Currently, the structure of the Ponta do Lobo Lighthouse is made up of a 9 m high quadrangular tower, whose lantern is 17 m above sea level, attached to the lighthouse keeper's house, but the complex is completely abandoned. On the facade of the rectangular building, covered with hipped fiber cement sheets, you can see the door that leads to the interior, but which is closed with blocks. It has a door and three small windows on the side facade and only one window on the back, all of which are also covered to avoid vandalism, as there is no lighthouse keeper. Accessing its interior presents a corridor that separates the kitchen from the old dining room and leads to the annexes. It also leads to the main room, which connects to the bedroom through a door. The lighthouse tower tops a gable of the main building and access to the lantern is via an external staircase. Although it is deactivated, it had a white lamp, similar to that of 6th order headlights, and emitted 4 flashes every 15 seconds, but the respective protection is loose and in poor condition, completely corroded due to lack of conservation. The “Farol de Leste” as it is known locally, served the small Porto do Lobo which has the shape of a shell, whose narrow opening is delimited by Ponta do Lobo to the south and Ponta Maiada, to the north of a coast made up of three beaches , intervals by rocks, extending from South to West, which are used by small fishing boats.",flashlight,Mar,Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/I4hdKDtQZhRry2viHObv.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/crabCT1Dl67vfjtAeXyG.jpg,"Greater publicity, capacity guides, access to the attraction",,,Others,,True,"All Terrain Vehicle,Common Car,Tourist Bus,Public Mini Bus,Tourist Mini Bus,Taxi",Enough,Enough,Enough,Book,,,34,roomy,,,,,,,,,,,Very little frequented,,
"15.098096258262572, -23.667853391821478",Old Municipal Market,Santiago,Santa Catarina,Santa Catarina,Assomada,Praça central,Architectural and Artistic Heritage,Human Settlements and Living Architecture,"It is a space for commercial exchange. It was the first market built in Cape Verde and opened in 1931. It brought together everyone on the island daily. It is a building with distinctly colonial characteristics, which bears witness to the mark of Portuguese architecture in Cape Verde, where people from different parts of the municipality gather to exhibit themselves and sell their products, which ends up being a place for interaction and conviviality. Its architecture, the exhibitions and fairs held there make it a cultural space, attracting visitors, whether national or international, especially those who want to mingle with simple ways of living. Currently it does not cover all types of commerce, because a new market was built, where most of the vendors were transferred to this space. However, there are still people selling handicrafts from Cape Verde and Africa, selling food and others. The footfall at this market is lower than it was in the past.","Product sales counter, bathroom
Kiosk, handcrafted products","Fruits, vegetables for sale",,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/Jn7MMlTcCadjmLIBJh2c.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/ySfAdV95456ew2qdTmKb.jpg,"Value architectural history, and reuse space for other purposes",First market built in Cape Verde.,,Gastronomy,,True,"All-terrain vehicle,Common car,On foot,Public bus,Tourist bus,Public mini bus,Tourist mini bus,Taxi",Does not exist,Does not exist,Does not exist,Book,True,True,35,roomy,"Guide services,Interpretation centers,Museums,Taxi service,Sale of crafts,Bank/ATM/currency exchange bureau","Water,Sewage system,Public lighting","Public hospital,Private hospital,Primary care,Police",Sale of crafts,"Water,Sewage system,Public lighting",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/fGJH7smmTbN6bKGN2Qx5.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/CaH7PJv4vexTV0XrtHnv.jpg,,,,Attended,,
"15.092238584665067, -23.654219690621968",Cruz dos Picos Viewpoint,Santiago,Santa Catarina,Santa Catarina,Cruz dos Picos ,Cruz dos Picos ,Natural Places,Flora and Fauna Observation Sites,"It is a place for stopping, leisure and observation, where you can appreciate the entire city of Assomada, the different natural and cultural landscapes. Currently, it is very dilapidated, lacking work both on the structure and around it. Composed of a small square with a cement cross, the city's entrance door and a meeting point for the city of Assomada. There is a renovation project for this viewpoint that does not yet have a date for completion.  The Mirante de Cruz de Picos project includes leisure spaces, pedestrian access, staircases and ramps, green spaces and flowerbeds, restaurants, fitness park, kiosks and an entrance portico to the city.","Viewpoint, cross made of cement
Stone",,Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/LMUn4P66sbRv1U3Bfjz9.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/wugjFoCcBd3u7ZRu4WVj.jpg,"Pending a project financed by the Ministry of Tourism and gtransportes to revitalize the space in an economical way, with a terrace and café.",,,Heritage/cultural,Requalification and remodeling of the viewpoint by the Ministry of Tourism and Transport,True,"All-terrain vehicle,Common car,Public bus,Tourist bus,Public mini bus,Tourist mini bus,Taxi",Does not exist,Does not exist,Does not exist,Book,False,True,36,roomy,"Guide services,Interpretation centers,Museums,Taxi service,Sale of crafts,Bank/ATM/currency exchange,Parking services","Water,Sewage system,Public lighting","Private hospital,Primary care,Police",,,,,,,,Attended,,
"14.916918434881977, -23.507501734802467",Cruzeiro Viewpoint,Santiago,Praia,Nossa Senhora da Graça,Plateau,Plateau,Architectural and Artistic Heritage,Archaeological Legacy,"It is located in the south of Praia, in the tennis area on the plateau and faces the top of the cliff that descends towards the sea. It is a structure that was built in the early days of the occupation of the plateau to defend the city from successive pirate attacks that the island was facing. The square has been renovated, giving visitors greater comfort. Consisting of a cross made of cement and covered in marble, on a stone base also covered in marble, it was inaugurated on November 19, 2006, it has several inactive cannons that defended the island from attacks, which due to time, are very rusty. It is also one of the best viewpoints in the city, with a panoramic view of the city's pier from the beach.","Cannons, 
Cross facing the beach pier",Some trees,Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/vVeXVH8J1qqudIokg1qc.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/CvKufggvIJN3CYWKytty.jpg,,,,Heritage/cultural,,True,"All-terrain vehicle,Common car,On foot,Tourist bus,Mini Tourist Bus,Taxi",Enough,Enough,Enough,Book,True,False,37,,"Guide services,Museums,Taxi service,Sale of crafts,Bank/ATM/currency exchange,Parking services","Water,Sewage system,Public lighting,Signage","Public hospital,Private hospital,Police",,Public lighting,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/CA3DqK4v2TIyUEBBS5wX.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/SHDJoIOlbD1TyURGIb7i.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/fnketppxr0VZ5mGP0Rft.jpg,,,Attended,,
"15.035651704836042, -23.59963023640967",Rui Vaz Viewpoint,Santiago,São Domingos,São Nicolau Tolentino,"Rui Vaz

",Rui Vaz,Natural Places,Flora and Fauna Observation Sites,"It is a viewpoint at an altitude of 820 meters, located in the Pico de Antónia chain, in the forest perimeter of Rui Vaz.  Cool climate, view of north Santiago, border with SLO. Entrance door to the forest perimeter, of Curalinho. Area for practicing sports (hang gliding) - under study at CMSD. It is part of the tourist route on the island of Santiago and overlooks the municipalities of São Lourenço dos Organs, Santa Cruz and the island of Maio. At the viewpoint he highlights a swing, made from eucalyptus wood, which is very abundant in the region. An invitation to feel like a child again and take wonderful photos. Its surroundings are rich in beautiful green landscapes.","Wooden benches, swing, basalt stones, trails to São Jorge 
Wood and tile coffee kiosk,","Landscape and flora, medicinal plants",Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/cqdMxM28mlraAWMtup0o.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/kW9CCmWqBYqc5xD1jnQ2.jpg,"Improve accessibility, sanitation, local investment by individuals, training people to provide a service there.","It has the best trekking trails, close to protected areas and suitable for developing scientific projects.",,"It is for tourist use, for walks, observation and picnics",,True,"All-terrain vehicle,Common car,On foot,Public bus,Tourist bus,Public mini bus,Tourist mini bus,Taxi",Enough,Enough,Enough,Book,True,True,38,bom,"Handicraft sales,Parking services","Water,Sewage system,Public lighting,Signage","Public hospital,Primary care",Parking services,"Public lighting,Signage",,,,Primary care,,Attended,,
"14.923139226801977, -23.50702813527767",Praia Ethnographic Museum,Santiago,Praia,Nossa Senhora da Graça,Plateau,Plateau,Architectural and Artistic Heritage,Museums and Exhibition Halls,"The Museum arises from a larger project to create the National Museum (late 1980/1990). The aim was to create a museum that could reflect Cape Verdean cultural identity. However, the materialization of it was not possible, having ended up in what is the Praia Ethnographic Museum, opened on November 27, 1997. Building of old construction with wooden paneling. The majority of the collection is the result of collection campaigns carried out between 1992 and 1995, on the islands of Santiago, Santo Antão, Bosvista and Brava, by the National Institute of Culture. The collection is quite different and represents the experience, daily life and know-how of Cape Verdean men, their ancestral techniques and crafts, many in extent, which are part of the ethno-cultural background common to all the islands of the archipelago.","Basalt stones, glass showcases, various crafts, Interpretive panels, Tall doors and windows",-,Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/yN0uoK3C7kkYtZoS8sUp.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/134KEJLda7HZb5Z1sYRc.jpg,None,Santiago's only ethnographic museum,,Heritage/cultural,None,True,"Ordinary car, on foot",Enough,Enough,Enough,Ticket or entry required,True,True,39,bom,"Guide services, Taxi service, Sale of crafts, Bank/ATM/currency exchange, Parking services","Water,Sewage system,Public lighting,Signage","Public hospital,Private hospital,Primary care,Police",Museums,"Water,Sewage system,Public lighting,Signage",,,,Primary care,,Attended,,
"14.916645462293983, -23.509556218844676",Palace of the Presidency of the Republic,Santiago,Praia,Nossa Senhora da Graça,Plateau,Plateau,Architectural and Artistic Heritage,Human Settlements and Living Architecture,"The Palace of the Presidency of the Republic located in the historic center of Plateau, was built at the end of the 19th century, and has played various roles over time, notably as the residence of the general governors of Cape Verde and after Cape Verde's independence in 1975. , the palace of the presidency of the republic, a function it still has. A building, with a neoclassical style opened in 1984. There are historical references before and after 1878, authorization was requested for the construction of a residence for the general governors, in May 1878, this project was prepared by the general directorate of public works.","Viewpoint, Representative works of art",landscape garden,Private,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/xI0EQNvNRjQSraaxTZ9u.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/8J7rPyB1BpdRlQGbRmsk.png,-,"It is a building with a U-shaped architectural plan and neoclassical style, with stonework, masonry and covered with tiles and is unique in the regions.",,Heritage/cultural,-,True,"All-terrain vehicle,Common car,On foot,Public bus,Tourist bus",Enough,Enough,Enough,Semi-restricted (prior permission),True,True,40,very good,"Guide services,Interpretation centers,Museums,Taxi service,Sale of crafts,Bank/ATM/currency exchange,Parking services","Water,Sewage system,Public lighting,Signage","Public hospital,Private hospital,Primary care,Police","Guide services, Interpretation centers","Water,Sewage system,Public lighting,Signage",,,,"Primary care,Police",,Attended,,
"14.915174398165258, -23.605130690008735",Pillory,Santiago,Ribeira Grande de Santiago,Santíssimo Nome de Jesus,Ribeira Grande de Santiago,Ribeira Grande de Santiago,Architectural and Artistic Heritage,Archaeological Legacy,"It is an important monument in the city of Cidade Velha, in the south of Santiado. Built in 1512 to 1520. Symbol of municipal power, where citizens were judged in front of the public (punished with a whip). Built from marble stone (from Portugal) by architect Mark Pires. 1st monument in the Old Town subject to renovation in 1560. It is a white marble column in Manueline style, located in the main square of the town.","iron with symbols of the navigators who passed through Cidade Velha (Diogo Afonso, Diogo Gomes and Antonio de noli)",-,Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/EvLeHsyYwf5TCd4kK7aV.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/02QKOCWxTX6FPNDnbUfZ.jpg,-,-,,Heritage/cultural,-,True,"Ordinary car,On foot,Tourist bus,Taxi",Enough,Enough,Enough,Book,False,True,41,bom,Sale of crafts,"Water,Public lighting,Signage",,,,,,,,,Attended,,
"15.28519185524424, -23.755995907839342",Port of Mangui,Santiago,Tarrafal,Santo Amaro Abade,Baia de Tarrafal,Baia de Tarrafal,Natural Places,Beaches and Coastal Locations,"Tarrafal fishing port, designed in the 14th century, by a Frenchman named Renatho, created with the idea for the commercialization of coal. It was used to disembark political prisoners and embark people to São Tomé and Príncipe during the famine. Currently used as a fishing pier, for disembarking small fishing vessels that supply tarrafal and other locations with fish of different species. The pier is more than 100 meters long, made with strong structures, but at the moment it is dilapidated.","Damaged stairs, Ancora in poor condition","Sea, fish",Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/tBg3MaKoiQi294PBbZmG.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/1J6fGOBsR33L7WJPdZHg.jpg,"Rehabilitate with the aim of serving tourism and fishing, resilient tourism project (project unit), scheduled for 2024",-,,,-,True,"All-terrain vehicle,Common car,On foot,Public bus,Tourist bus,Public mini bus,Tourist mini bus,Taxi",Does not exist,Very little,Very little,Book,True,True,42,roomy,"Guide services, bicycle/horse/other rental","Water,Public lighting","Private hospital,Primary care,Police",,Public lighting,,,,,,Attended,,
"15.138721447830783, -23.527203213519837",Port of Pedra Badejo - Falucho,Santiago,Santa Cruz,Santiago Maior,Cidade de Pedra Badejo ,Porto Baixo ,Natural Places,Beaches and Coastal Locations,"In the past, it served as a maritime connection mainly with the island of Maio, where several people from the municipality of Santa Cruz live. With the smell of sea and fish, fishermen begin to arrive from the sea in the morning and the fishmongers, concentrated in Porto, load the fish in basins and go out selling them on the streets and in the Market. It is another point of tourist interest where visitors can see the work of people linked to the sea and buy fresh seafood on the spot. An ice factory (opened in August 2023) and a fish preparation area were recently remodeled and built. There is also a bathroom.",-,-,Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/PAOgQtfH84piXtUjs8yg.jpg,,Falucho fishing artifact museums,Connects with the island of Maio and Boavista by boat,,"Nautical activities: Sailing, deep sea fishing, etc.",-,True,"All-terrain vehicle,Common car,On foot,On horseback,Public bus,Tourist bus,Public mini bus,Tourist mini bus,Taxi",Enough,Enough,Enough,Book,True,True,43,bom,"Guide services,Bicycle/horse/other rental,Interpretation centers,Museums,Taxi service,Sale of crafts,Bank/ATM/exchange office,Parking services","Water,Sewage system,Public lighting,Signage","Public hospital,Private hospital,Primary care,Police",,"Water,Sewage system,Public lighting,Signage",,,,,True,Attended,,"Boat,Yacht"
"14.905296827398644, -23.518607834679845",Cruz de Papa Square,Santiago,Praia,Nossa Senhora da Graça,Achada Santo António,Achada Santo António,Architectural and Artistic Heritage,Representative Works of Art,"The Cruz de Papa monument is a monument erected to mark the papal visit of Pope John Paul II to Cape Verde in 1990, being the first visit ever by the church's greatest leader to the country. This imposing monument is located in the garden where it is possible to observe, on one side, and on the other a sculpture representing John Paul II. It has a fantastic panoramic view over the Quebra Canela beach bay, where you can feel the sea air and watch the sunset. The square was opened in 2008 and created by Mr. Domingos de Luisa.","Viewpoint, park with children's slides, restaurant, chairs",Garden,Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/nxhW62OGYiAgTb6PG2s4.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/gSmtPgxj97HzURfuKOb2.jpg,,It was the first visit ever by the most responsible person of the Catholic Church to a country like Cape Verde.,,Heritage/cultural,,True,"All-terrain vehicle,Common car,On foot,Public bus,Tourist bus,Public mini bus,Taxi",Enough,Enough,Enough,Book,True,True,45,bom,"Guide services, Taxi service, Sale of crafts, Bank/ATM/currency exchange, Parking services","Water,Sewage system,Public lighting,Signage","Private hospital,Primary care",,"Public lighting,Signage",,,,,,Attended,,
