Lat-Long,Nome do recurso turístico,ilha,Conselho,Freguesia,Vila,Bairro,Classificação,Cara,Descrição do produto,Elementos materiais associados,Elementos naturais associados,Acesso ao Recurso [Domínio público ou privado],Imagens do recurso,Imagens do recurso 1,Dados pendentes de interesse turístico,Singularidade que o diferencia dos demais da região,Satisfação do cliente com o recurso,Possibilidades de exploração futura,Intervenções necessárias para seu uso,Acesso ao recurso (Terra),Meio de viagem,Sinalização (Dentro do município),Sinalização (Fora do município),Sinalização (Na proximidade),Tipo de renda,Aplica (Dentro do Recurso Turístico),Aplica (Fora do Recurso Turístico),"ID",Estado de conservação,Outros Serviços Turísticos (Fora do Empreendimento Turístico da localidade mais próxima),Serviços Básicos ( Fora do Empreendimento Turístico da localidade mais próxima),Serviços de emergência (Fora do Empreendimento Turístico da localidade mais próxima),Outros Serviços Turísticos (Dentro do Recurso Turístico),Serviços básicos (Dentro do Recurso Turístico),Imagens do recurso 2,Imagens do recurso 3,Imagens do recurso 4,Serviços de emergência (Dentro do Recurso Turístico),Acesso ao recurso (Marítimo),Nível atual de uso,Acesso ao recurso (Aéreo),Meio de viagem 2
"14.971722400036619, -23.46103552186532",Praia de São Francisco ,Santiago,Praia,Nossa Senhora da Graça,São Francisco,,Lugares Naturais,Praias E Locais Costeiros,"A Praia de São Francisco é uma das melhores praias balneares da cidade da Praia. É um local agradável, com uma extensão de areia branca. A localidade de São Francisco tem vento constante e o mar é bem forte e agitado. É quase como a praia da amizade. Lá, juntam-se grupos de amigos que colocam música, divertindo-se e dançando. São Francisco é uma praia especial. Pode falar-se da água, a uma temperatura fantástica, ou do pôr do sol que se pode apreciar do belo areal que esta possui. Um boa extenção de areia branca, onde tambem recebe tartarugas para desova.  Outra atração turistica são  as cavernas de salinas, localizadas na zona de salinas, pqrque ali as pessoas faziam apanha de sal que surgia por conta das aguas do mar,  que saltam para cima dos rochedos e ficam ali retidas. As grutas em forma de labirintoum tanto assustadoras não nasceram por obra da natureza, mas sim pela extração de areia que as pessoas da comunidade de vale da custa exerciam por falta de outros meios de subsistencia. Atualmente já não se faz a extração de areia devido ao perigo que este acareta. ","Ninhos de tartarugas, informação da praia
Cestas de lixos, cavernas de salinas","Mar, areia e algumas palmeiras",Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/iobEyEZLoiRISWGMZkJK.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/ZJDM2OiAY3of4Mnl3Fbu.jpg,Segurança ,,Pouco frequentado,Costa e banho (Praia),"Melhorias do acesso, sinalização e divulgação",true,"Veículo todo terreno,Carro comum,A pé,Ônibus público,Ônibus turístico,Mini-Ônibus Público,Mini-Ônibus Turístico,Taxi",Suficiente,Suficiente,Suficiente,Livre,true,true,24,,"Serviços de guia ,Aluguel de bicicleta/cavalo/outro,Centros de interpretação,Museus,Serviço de táxi,Venda de artesanato,Banco/caixas eletrônicos/casa de câmbio,Serviços de estacionamento","Água,Iluminação pública,Sinalização,Outros",Cuidados primários,,"Iluminação pública,Sinalização",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/iwmQbFKQPpX7by3fp94C.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/okPie0zffUov6W15FI7E.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/82U6dFkMolK6wH71VYZj.jpg,,,,,
"15.05927052171017, -23.634747681840164",Aldeia de Mato Dentro ,Santiago,São Salvador do Mundo,São Salvador do Mundo,Mato dentro,Mato dentro,Lugares Naturais,Vales,"A Aldeia de Mato dentro é um conjunto de povoados (com 100 pessoas) dispersos com vocações agricolas e precuaria. Localizada num vale fértil na proximidade do Pico de Antónia, a aldeia de Mato Dento tem a capacidade de proporcionar aos seus visitantes a oportunidade de usufruir de uma paisagem de montanha exuberante e bastante bela. Associada a essas paisagens é ainda possível ter contacto com o mundo rural, envolvendo-se no modo de vida da população.","Casas típicas caboverdianas
Miradouros","Vegetação, flora, fauna, plantas ornamentais",Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/vVEems5Gkr2Ghizh8wl5.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/42ReE4pgcLwmteSl9y8X.jpg,"A Aldeia de Mato Dentro integra dois grandes projetos de promoção e diversificação turística de Cabo verde, nomeadamente, o Programa de Valorização Turística e Ambiental das Aldeias Rurais e o Projeto de Sinalização dos Caminhos Pedestres de Cabo Verde.","As condições naturais fazem com que Aldeia de Mato Dentro seja um lugar onde a atividade agrícola tem elevado peso na economia familiar, com predominância para agricultura de sequeiro (95%), apesar de agricultura de regadio com menos expressão (4%) praticam em alguns vales e há casos sazonais (1%), aspetos estes importantes para o fomento do ",Frequentado,Caminhadas,Colocação de placas de sinalização para a aldeia; Reabilitação da estrada de acesso a Mato Dento; Construção de miradouros que potenciem a experiência de contemplação da paisagem aldeia e envolvência,true,"Veículo todo terreno,A pé,Taxi,Outro",No existe,No existe,No existe,Livre,true,true,25,bom,Serviços de guia ,"Água,Iluminação pública,Outros",Hospital público,,"Água,Iluminação pública,Outros",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/f9UuJ4mLvbkgSLsn4OVi.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/1Kl0FjKhmI1NqUSJF7ra.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/VBz4wu1YKUksjqKKoLMc.png,,false,,,
"14.916230527923444, -23.602094419460148",Fortaleza Real de São Filipe,Santiago,Ribeira Grande de Santiago,Santíssimo Nome de Jesus,Ribeira Grande de Santiago,Ribeira Grande de Santiago,Património Arquitectónico E Artístico,Legado Arqueológico,"Tambem reconhecido como forte real ou simplizmente fortaleza, localiza-se no alto de achada forte. O forte apresenta planta no formato trapesoidal, com murlhas em aparelo de pedra, duas baliartes pentagonais completos nos vertices a este, separados por cortinas, e dois meios-baluartes, a norte e a sul, com respetivas guaritas. Por se situarno lado de terra, sobrenceira á população da Ribeira Grande, não era possivel que, da fortaleza, se fizessem tiros de curto alcance, por risco de atingir a população. Centro defensivo de Cidade Velha em 1587 seculo 16 por ordem o rei filipe de portugal e segundo espanha. Contruido com pedras locais (basalto), uso de argamassa de cal e areia, blocos de cantaria e calcario.  Fica 115 a 120 metro sobre nivel do mar e 12 km da capital. ","Vestigio da casa do governador, casa dos soldados, poço (1612)
Capela de São Gonçalo, quartos oficiais, armazem de guarnições e armas, prisões e calaboços.",nenhum,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/lND6pPqDQl0DEVlQZuEy.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/CBBCfJAN0dWAO7wxzRdB.jpg,Sinalização de bilhateria e dos elementos materiais associados,"Está situada na 1ª Cidade de Cabo Verde, em toda a africa subsariana.",,Património/cultural,,true,"Veículo todo terreno,Carro comum,A pé,Ônibus turístico,Mini-Ônibus Turístico,Taxi",Suficiente,Suficiente,Suficiente,Livre,true,true,26,bom,"Serviços de guia ,Venda de artesanato,Banco/caixas eletrônicos/casa de câmbio","Água,Iluminação pública,Sinalização","Hospital público,Polícia",,Água,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/uLGYI4eXTu9EUa1rYYGQ.jpg,,,,,Frequentado,,
"14.91937784911368, -23.508089449533845",Museu Amílcar Cabral e Fundação Amílcar Cabral,Santiago,Praia,Nossa Senhora da Graça,Plateau,Plateau,Património Arquitectónico E Artístico,Museus E Salas De Exposições,"É uma organização não-governamental, de utilidade publica criada em 1984, que tem com principal finalidade a preservação e valorização da obra e da historia de Amilcar Cabral e da luta contra o dominio colonial por ele travada, que conduziu a indenpendencia de cabo verde e da guine bissau. Edificio antigo, com portas e janelas altas, compartimentos pequenos onde são exposto o acervo de Amilcar Cabral. A fachada do edificio existe varios grafites do referenciado. A Fundação apresentou recentemente a candidatura dos arquivos de Amilcar Cabral, ao programa Memoria do Mundo da UNESCO, com a missão de preservar a obra e memoria do seu patrono “Amilcar Cabral”. ","Fotografias, Livros, Documentos, Quadros Artísticos, Vídeos e Audios que fazem parte do acervo do Museu Amílcar Cabral.
Peças de vestuário, mobiliários e objetos pessoais que pertenceram a Amílcar Cabral",,Privado,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/R5mNymU3FgNv5dSx23q5.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/vDBMmloa1AIiyK0ZSXnO.jpg,"Espaço de preservação da memória e do legado de Amílcar Cabral, ideólogo das independências de Cabo Verde e da Guiné Bissau",,,Património/cultural,"Está em curso o apoio técnico do IPC, para remodelar a exposição existente no Museu Amílcar Cabral ",true,"Carro comum,A pé,Ônibus turístico,Mini-Ônibus Turístico",,,,É necessário ingresso ou ingresso,true,true,27,bom,,"Água,Sistema de esgoto,Iluminação pública,Sinalização","Hospital público,Hospital particular,Polícia",,"Água,Sistema de esgoto,Iluminação pública,Sinalização",,,,,,Frequentado,false,
"15.101354835927923, -23.77051152250598",Gruta de Águas Belas,Santiago,Santa Catarina,Santa Catarina,Achada Leite,Achada Leite,Lugares Naturais,Formações Geológicas E Paleontológicas,"A Gruta de Aguas Belas alberga uma caverna com duas aberturas, a maior localizada no lado que dá para a praia de mar e a menor no lado que dá para o oceano, com uma praia contígua, ideal para nadar. Situa-se no oeste de Santa Catarina, mais concretamente, na foz da Ribeira dos Engenhos, aproximadamente, a 2km para Sul de Achada Leite. Esta Ribeira possui uma vista panorâmica atrativa e faz parte desta paisagem natural uma caverna/gruta com dupla abertura, de dimensões diferentes: lado maior aceda à praia e a menor ao oceano. Como a sua foz faz fronteira para o mar, logo este constitui mais um outro elemento harmonizante desta paisagem onde se possa contemplar o movimento das ondas penetrando na gruta, sentir a brisa marítima e propício para fazer um mergulho.",,Mar,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/3yKfc7jtgo0gMdNJuvst.png,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/91OF4af0pGTx5jkNPZmz.jpg,,"O local conta com a presença de mantos basálticos submarinos e subaéreos. Ainda é possível identificar a “Rocha Fundida” denominada de falésia, com uma estrutura cilíndrica chamada pelos residentes de “Pilon di Nhor Dês”.",,Espeleologia,Em proceso de Remodelação no ámbito do Programa das Aldeias Rurais,true,"Veículo todo terreno,A pé,Outro",Suficiente,,Suficiente,Livre,false,true,28,aceitável,Serviços de guia ,"Água,Sistema de esgoto,Iluminação pública,Sinalização","Cuidados primários,Polícia",,,,,,,true,Frequentado,false,Barco
"14.93716208087615, -23.598002269329278",Igreja da nossa Senhora do Rosário,Santiago,Ribeira Grande de Santiago,Santíssimo Nome de Jesus,Ribeira Grande de Santiago,Ribeira Grande de Santiago,Património Arquitectónico E Artístico,Legado Arqueológico,"Localiza-se a noroeste da vila, junto a margem direita da ribeira grande de santiagoFoi criada em 1495 iniciada como uma capela, a mais antiga da africa subsariana que ainda existe em funcionamento, A sua capela lateral manuelina é um raro exemplo de arquitetura gotica na africa subsariana.. Foi feita melhorias recentemente. A igreja é usada para batismo e cerimonias religiosas. Encontra-se três tumulos de padres missionarios um destes de cabo verde (Padre Nicolau Ferreira). ","Pedra brancas esculpidos, escadas com pedras de calcario
Parede construção antiga e azulejos portugueses",,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/Fp3lN5HeJxjzZY9reqk1.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/0GGgIL8ralXCmOcA8qPC.jpg,,,,Património/cultural,Não,true,A pé,Suficiente,Suficiente,Suficiente,É necessário ingresso ou ingresso,true,true,29,bom,"Serviços de guia ,Venda de artesanato,Banco/caixas eletrônicos/casa de câmbio","Água,Iluminação pública,Sinalização","Hospital público,Polícia",,"Água,Iluminação pública,Sinalização",,,,,,Frequentado,,
"15.129555942323655, -23.524592507812905",Igreja São tiago Maior ,Santiago,Santa Cruz,Santiago Maior,Cidade de Pedra Badejo ,Achada Igreja ,Etnografia E Folclore,Folclore Espiritual,"Edificada no seculo XVIII a igreja esteve funcional até 1954, altura em que o santo, o altar, sinos, madeira, entre outros objetos, foram deslocados para Igreja de Nossa Senhora de Fátima, no centro de Pedra Badejo. A cobertura de palha da igreja de São Tiago Maior, com sucessivas secas foi retirado ""para as vacas e cabras comerem"". A partir dai, deixado ao abandono, o tempo encarregou de deixar o edificio em ruinas. Foi reabilitada/reconstruida com objetivo de preservar o edificio e criar uma rede intermunicipal com atractivos para um turismo histórico e religioso. A igreja é pintada de branco e possui pedra rústico.    

","5 Campas, Bancos de madeiras, santos, alta,  aparelho sonoro, praça, ordementada   ",Plantas,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/StCUvzqLdsfcTDC6Kjpc.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/bXEp15FUC6XINx2D2qYo.jpg,"Tocheira de vela, casa de banho e quiosque","Segunda igreja mas antiga de Santiago,  ",,Património/cultural,,true,"Veículo todo terreno,Carro comum,A pé,A cavalo,Ônibus público,Ônibus turístico,Mini-Ônibus Público,Mini-Ônibus Turístico",Suficiente,Suficiente,Suficiente,Semi-restrito (permissão prévia),true,true,30,bom,"Serviços de guia ,Aluguel de bicicleta/cavalo/outro,Centros de interpretação,Museus,Serviço de táxi,Venda de artesanato,Banco/caixas eletrônicos/casa de câmbio,Serviços de estacionamento","Água,Sistema de esgoto,Iluminação pública,Sinalização","Hospital público,Hospital particular,Cuidados primários,Polícia",,"Água,Iluminação pública,Sinalização",,,,,,Frequentado,false,
"15.09619763039477, -23.667297330669346",Igreja Nossa senhora de Fatima ,Santiago,Santa Catarina,Santa Catarina,Assomada,Praça Central,Etnografia E Folclore,Folclore Espiritual,"Este monumento religioso localiza-se em pleno centro histórico da cidade de Assomada e tem a sua frente o edifício da Câmara e a praça Gustavo Monteiro. Trata de uma construção antiga e da época colonial mandada erigir entre 1947 a 1949, sendo nesse último ocorreu a sua inauguração. Os seus traços arquitetónicos são marcantes, e vendo para sua fisionomia atual a partir da vista de cima, destacam-se sobretudo as duas torres, uma na parte dianteira, ou no lado traseiro. É um espaço de culto de referência dos citadinos e muito tem contribuído para manutenção da fé no local e encontra-se em bom estado de conservação. Nela realiza-se as atividades centrais da festa de Nossa Senhora de Fátima, no dia 13 de maio. Os seus traços arquitetónicos e todo evento de cariz religioso fazem dela um património cultural e religiosa. Assim, deve integrar na rota de visita ao concelho. ","Santos, cadeiras, altar, desenhos diversos de santos",Flores ornamentais ,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/qXnG0N85xiN3fVByEpQQ.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/ENuFrSuR0Q36X9zm245c.jpg,,"Aberta todos os días, há um serviço de venda de velas e símbolos da igreja.",,Património/cultural,,true,"Veículo todo terreno,Carro comum,A pé,Ônibus público,Ônibus turístico,Mini-Ônibus Público,Mini-Ônibus Turístico,Taxi",Suficiente,No existe,No existe,Livre,true,true,31,,"Serviços de guia ,Museus,Serviço de táxi,Venda de artesanato,Banco/caixas eletrônicos/casa de câmbio,Serviços de estacionamento","Água,Sistema de esgoto,Iluminação pública,Sinalização","Hospital público,Polícia",,"Água,Iluminação pública,Sinalização",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/9iF0IixcDJjaHfmGebL8.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/TlcMRnciOfC1IOnyVKBp.jpg,,,,Frequentado,,
"15.048891453610121, -23.603855597369304",Jardim Botánico Grandvaux Barbosa,Santiago,São Lourenço dos Órgãos,São Lourenço dos Órgãos,São Jorge dos Órgãos,São Jorge dos Órgãos,Lugares Naturais,Locais De Observação De Flora E Fauna,"Espaço que contén uma coleção de plantas endémicas e autóctonas de Cabo Verde. É o único jartim botánico de Cabo Verde. O centro foi criado em 1986 e recebeu o nome de Botanico Franco-portugues Luis Augusto Grandvaux Barbosa. Sta localizado a 400 metros de altitude acima do nivel do mar e cobre 20 000 quadrados. Integra a escola superior de ciencias agrarias e ambientais, parte da universidade de cabo verde.","Espaço multi-uso
Espaços de piquenique 
",Fauna e Flora,Privado,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/mc1cPMag5VHSs6jOtAiQ.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/4GcZlWEpnTAUfT0ZQTro.jpg,,O Jardim Botânico Nacional Grandvaux Barbosa é o único jardim botânico em com uma coleção de plantas endémicas de Cabo Verde,,Caminhadas,Em proceso de Remodelação ,true,"Veículo todo terreno,Ônibus turístico,Taxi,Outro",Suficiente,,Suficiente,Semi-restrito (permissão prévia),true,true,32,aceitável,"Serviços de guia ,Centros de interpretação,Museus,Serviço de táxi,Serviços de estacionamento","Água,Sistema de esgoto,Iluminação pública,Sinalização","Hospital público,Cuidados primários,Polícia","Serviços de guia ,Centros de interpretação,Venda de artesanato","Água,Sistema de esgoto,Iluminação pública,Sinalização",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/cjseQCeHR8Rk3OZ1Fddx.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/FlLalElWJrYxfmU73Ybu.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/G46Pz123Yrw2hwCtZU7a.jpg,,,Frequentado,,
"15.137413367082063, -23.53389234711447",Largo Catchás “rei do funana”,Santiago,Santa Cruz,Santiago Maior,Cidade Pedra Badejo ,Porto de Acima ,Património Arquitectónico E Artístico,Assentamentos Humanos E Arquitetura Viva,"Rua emblemática do centro histórico da cidade, porque era o maior ponto económico e social onde desenvolviam atividades económicas. A Estatua de um musico local (vulgo catchas – Carlos Alberto Martins 1951-1988), fundador do conjunto Bulimundo, criador e impulsionador do movimento funaná e deixou um enorme legado a musica e a cultura cabo Verdiana. Em forma de homenagem a estatua foi construída, em vidro e areia basáltica na figura do mesmo. Em 2013, por ocasião da aprovação do Regulamento Municipal de Toponímia e Numeração de Polícia, a Assembleia Municipal ratificou esse nome, passando assim a ser oficialmente praça Katxás e não largo ou rua como as pessoas tinham por hábito de chamar.","Base de cimento 
Placas que conta a historia de Catchás
",Plantas ornamentais ,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/Jd94rDemjBeN1s62wWM6.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/i1oqMG4aqB4L2ouHVFMl.jpg,,Simbolo do funana de Cabo Verde,,Património/cultural,,true,"Veículo todo terreno,Carro comum,A pé,A cavalo,Ônibus público,Ônibus turístico,Mini-Ônibus Público,Mini-Ônibus Turístico,Taxi",Suficiente,Suficiente,Suficiente,Livre,false,true,33,bom,"Serviços de guia ,Aluguel de bicicleta/cavalo/outro,Centros de interpretação,Museus,Serviço de táxi,Venda de artesanato,Banco/caixas eletrônicos/casa de câmbio,Serviços de estacionamento","Água,Sistema de esgoto,Iluminação pública,Sinalização","Hospital público,Hospital particular,Cuidados primários,Polícia",,,,,,,,,,
"14.987226579841511, -23.430374532952417",Farol de Ponta Leste,Santiago,São Domingos,Nossa Senhora da Luz,,,Realizações Técnicas Científicas,Obras De Engenharia,"Actualmente a estrutura do Farol da Ponta do Lobo é constituída por uma torre quadrangular de 9 m de altura, cuja lanterna fica a 17 m de altitude, anexa à casa do faroleiro, mas o conjunto encontra-se totalmente abandonado. Na fachada do edifício de planta rectangular, coberto de chapas de fibrocimento a quatro águas, depara-se com a porta que dá aceso ao interior, mas que está cerrada com blocos. Possui na fachada lateral uma porta e três pequenas janelas e na parte posterior apenas uma janela, todas também tapadas tentando evitar vandalismos, por se encontrar sem faroleiro. Acedendo ao seu interior apresenta-se um corredor que separa a cozinha da antiga sala de jantar e leva aos anexos. O mesmo conduz ainda à sala principal, que comunica com o quarto através de uma porta. A torre do farol encima uma empena do edifício principal e o acesso à lanterna faz-se por uma escadaria exterior. Embora esteja desactivado, tinha uma luz da lâmpada de cor branca, semelhante à dos faróis de 6ª ordem, e emitia 4 flashes em cada 15 segundos, mas a respectiva protecção encontra-se solta e em mau estado, totalmente corroída por falta de conservação. O “Farol de Leste” como é conhecido localmente, servia o pequeno Porto do Lobo que tem a forma de uma concha, cuja estreita abertura é delimitada pela Ponta do Lobo ao Sul e a Ponta Maiada, ao Norte de uma costa constituída por três praias, intervaladas por rochedos, estendendo-se de Sul para Oeste, que são utilizadas por pequenas embarcações de pescadores.",lanterna,Mar,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/I4hdKDtQZhRry2viHObv.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/crabCT1Dl67vfjtAeXyG.jpg,"Maior divulgação, guias capacidade, acesso ao atrativo",,,Outros,,true,"Veículo todo terreno,Carro comum,Ônibus turístico,Mini-Ônibus Público,Mini-Ônibus Turístico,Taxi",Suficiente,Suficiente,Suficiente,Livre,,,34,ruim,,,,,,,,,,,Muito pouco frequentado,,
"15.098096258262572, -23.667853391821478",Mercado Municipal Antigo,Santiago,Santa Catarina,Santa Catarina,Assomada,Praça central,Património Arquitectónico E Artístico,Assentamentos Humanos E Arquitetura Viva,"É um espaço para troca comerciais. Foi o primeiro mercado construido em Cabo Verde e inaugurado e 1931. Reuniu diariamente toda as gentes da ilha. Trata-se de uma edificação com características marcadamente colonial, que testemunha a marca da arquitetura portuguesa em Cabo Verde, onde se reúnem pessoas de diversas partes do concelho para se expor e vender os seus produtos, o que acaba por ser um local de interação e convívio. A sua arquitetura, as exposições e as feiras ali realizadas fazem dele um espaço cultural, podendo atrair os visitantes, quer seja nacionais, quer seja internacionais, sobretudo aqueles que se pretendem entrosar com modos simples de viver. Atualmente não abarca todo o tipo de comercio, porque foi construído um mercado novo, onde maior parte das vendedeiras foram transferidas para este espaço. Mas, ainda se encontram pessoas que fazem a vende de artesanato de cabo verde e da africa, venda de comidas e outros. A afluência a este mercado é menor em relação ao que era antigamente.","Balcão de venda de produtos, casa de banho
Quiosque, productos artesanais","Frutos, hortaliças para venda",,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/Jn7MMlTcCadjmLIBJh2c.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/ySfAdV95456ew2qdTmKb.jpg,"Valorizar a historia arquitectonica, e reutilizar o espaço para outros fins",Primeiro mercado construido em Cabo verde.,,Gastronomia,,true,"Veículo todo terreno,Carro comum,A pé,Ônibus público,Ônibus turístico,Mini-Ônibus Público,Mini-Ônibus Turístico,Taxi",No existe,No existe,No existe,Livre,true,true,35,ruim,"Serviços de guia ,Centros de interpretação,Museus,Serviço de táxi,Venda de artesanato,Banco/caixas eletrônicos/casa de câmbio","Água,Sistema de esgoto,Iluminação pública","Hospital público,Hospital particular,Cuidados primários,Polícia",Venda de artesanato,"Água,Sistema de esgoto,Iluminação pública",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/fGJH7smmTbN6bKGN2Qx5.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/CaH7PJv4vexTV0XrtHnv.jpg,,,,Frequentado,,
"15.092238584665067, -23.654219690621968",Miradouro Cruz dos Picos,Santiago,Santa Catarina,Santa Catarina,Cruz dos Picos ,Cruz dos Picos ,Lugares Naturais,Locais De Observação De Flora E Fauna,"É um espaço de paragem, lazer e de obersavação, onde se pode apreciar toda a cidade de Assomada, as diferentes paisagens naturais e culturais. Atualmente, se encontra muito degradado, carecendo de obras tando a nivel da estrutura como ao seu redor. Composto por uma pequena praça com uma cruz de cimento, porta da entrada da cidade e um ponto de encontro da cidade de Assomada. Existe um projeto de requalificação desse miradouro que ainda não tem data para ser efetuada.  O projeto Miradouro de Cruz de Picos inclui espaços de lazer, acessos pedonais, escadarias e rampas espaços verdes e canteiros, restaurantes, fitness park, quiosques e um pórtico de entrada da cidade. ","Miradouro, cruz feita em cimento
Pedra
",,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/LMUn4P66sbRv1U3Bfjz9.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/wugjFoCcBd3u7ZRu4WVj.jpg,"Pendente de um projeto financiado pelo  Ministério do Turismo e gtransportes para dinamizar económicamente o espaço, com uma esplanada e café.",,,Património/cultural,Requalificação e remodelação do miradouro pelo Ministério do Turismo e Transportes,true,"Veículo todo terreno,Carro comum,Ônibus público,Ônibus turístico,Mini-Ônibus Público,Mini-Ônibus Turístico,Taxi",No existe,No existe,No existe,Livre,false,true,36,ruim,"Serviços de guia ,Centros de interpretação,Museus,Serviço de táxi,Venda de artesanato,Banco/caixas eletrônicos/casa de câmbio,Serviços de estacionamento","Água,Sistema de esgoto,Iluminação pública","Hospital particular,Cuidados primários,Polícia",,,,,,,,Frequentado,,
